entity_a,entity_b,oracion,doc_id,fecha,triple_sujeto,triple_verbo,triple_objeto,tipo_sugerido,tipo_gold
Comercio Exterior y Turismo,Estado,"Artesanos con apoyo del Estado exponen sus productos en feria en Magdalena del Mar
En el marco de la conmemoración del Día del Artesano Peruano, el ministro de Comercio Exterior y Turismo, José Reyes Llanos, inauguró la feria “Artesanías del Perú – Magdalena del Mar”, que estará abierta al público del 19 al 22 de marzo, de 09:00 a.",andina:1067713,2026-03-19,Artesanos,,productos,alianza,
Roberto Sánchez,Comercio Exterior y Turismo,"Fernando Reyes Llanos continúa como ministro de Comercio Exterior y Turismo
El presidente de la República, José María Balcázar, tomó juramento a Fernando Reyes Llanos como ministro de Comercio Exterior y Turismo, quien formará parte del Gabinete ministerial de Luis Arroyo Sánchez.",andina:1067345,2026-03-17,Fernando,,ministro,mencion,
Keiko Fujimori,Libertad,"La candidata presidencial de Fuerza Popular, Keiko Fujimori, emite su voto en la institución educativa Libertador San Martín del distrito de San Borja.",andina:1078391,2026-06-07,candidata,,voto,nombramiento,
Congreso,Fuerza Popular,"Lee también: Congreso: Comisión Permanente se instala para periodo anual de sesiones 2023-2024 1- Constitución y Reglamento (26 integrantes) Presidencia: Martha Moyano Delgado (Fuerza Popular) Vicepresidenta: Adriana Tudela (Avanza País) Secretario: Jorge Marticorena (Perú Bicentenario) 2-Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología (18 integrantes) Presidenta: Ruth Luque (Cambio Democrático- Juntos por el Perú) Vicepresidenta: Francis Paredes (Podemos Perú) Secretaria: María Elizabeth Taipe Coronado (Perú Libre) 3-Descentralización, Regionalización, Gobiernos Locales y Modernización de la gestión del Estado (26 integrantes) Presidente: Alejandro Cavero Alva (Avanza País) Vicepresidente: Auristela Obando Morgan (Fuerza Popular) Secretaria: Margot Palacios Huamán (Perú Libre) 4-Mujer y Familia (18 integrantes) Presidenta: Milagros Jáuregui Martínez de Aguayo (Renovación Popular) Vicepresidencia: pendiente Secretaria: Hilda Portero López (Acción Popular) 5-Agraria (18 integrantes) Presidente: Eduardo Castillo Rivas (Fuerza Popular) Vicepresidente: Kelly Portalatino Ávalos (Perú Libre) Secretaria: Magaly Ruiz Rodríguez (Alianza para el Progreso) 6-Cultura y Patrimonio Cultural (18 integrantes) Presidente: Héctor Acuña Peralta (Unidad y Diálogo Parlamentario) Vicepresidenta: Susel Paredes Piqué (Cambio Democrático-Juntos por el Perú) Secretario: Javier Padilla Romero (Renovación Popular).",andina:951600,2023-08-16,,,,ruptura,
Roberto Sánchez,Ley,"El politólogo Fernando Tincopa, del Centro Wiñaq, sostuvo que los candidatos presidenciales Keiko Fujimori (Fuerza Popular) y Roberto Sánchez (Juntos por el Perú) deben considerar hacer concesiones y compromisos explícitos en el marco de esta segunda vuelta, ante la falta de una mayoría en el Congreso.",andina:1077216,2026-05-29,politólogo,,,nombramiento,
Roberto Sánchez,Fuerza Popular,"En ese sentido, el citado colegiado instó a los aspirantes presidenciales de Fuerza Popular (Keiko Fujimori) y de Juntos por el Perú (Roberto Sánchez), a que "" durante el desarrollo de esta actividad su participación se alinee al espíritu del Pacto Ético Electoral "".",andina:1077381,2026-05-30,colegiado,,,alianza,
Congreso,Ley,"Bancadas apoyan pedido de vacancia Las bancadas del Congreso se pronunciaron hoy y anunciaron que apoyarán el pedido de vacancia contra la presidenta de la república, Dina Boluarte, debido a que las medidas contra la inseguridad ciudadana no han sido efectivas para detener este flagelo que afecta al país.",andina:1047813,2025-10-09,Bancadas,,pedido,alianza,
Roberto Sánchez,may,"El candidato de Juntos por el Perú (JP), Roberto Sánchez, abrirá el debate presidencial programado para este domingo 31 de mayo, mientras que la postulante de Fuerza Popular (FP), Keiko Fujimori, será la última en dar las palabras de cierre.",andina:1076169,2026-05-27,,,,nombramiento,
Congreso,Ley,"“El rechazo de plano de la cuestión de confianza de la Presidencia del Consejo de Ministros por el Congreso ha motivado la crisis del Gabinete”, manifestó.",andina:919248,2022-11-25,,,,conflicto,
may,Fuerza Popular,"La candidata presidencial de Fuerza Popular, Keiko Fujimori Higuchi, indicó que, en el marco de los comicios generales en curso, debemos ser respetuosos de las decisiones del Jurado Nacional de Elecciones (JNE), que anunció para este domingo 17 de mayo la proclamación de los resultados de la primera vuelta de la elección presidencial.",andina:1075180,2026-05-14,candidata,,,nombramiento,
Congreso,Consejo de Ministros,"El Presidente de la República, Pedro Castillo Terrones, lideró en Palacio de Gobierno la primera sesión del Consejo de Ministros de su gestión.",andina:856238,2021-08-04,Presidente,,Palacio,pertenencia,
Roberto Sánchez,Keiko Fujimori,"Lee también: Elecciones 2026: así será el debate presidencial entre Keiko Fujimori y Roberto Sánchez Respecto al formato, el funcionario detalló que se aplicará una “ metodología mixta ” en la que se contará con un “ bolsón de tiempo ” para que cada candidato haga su exposición sobre los cuatro temas.",andina:1075902,2026-05-26,,,,nombramiento,
Keiko Fujimori,Fuerza Popular,"Elecciones 2026: Roberto Sánchez abrirá debate presidencial y Keiko Fujimori lo cerrará
El candidato de Juntos por el Perú (JP), Roberto Sánchez, abrirá el debate presidencial programado para este domingo 31 de mayo, mientras que la postulante de Fuerza Popular (FP), Keiko Fujimori, será la última en dar las palabras de cierre.",andina:1076169,2026-05-27,,,,nombramiento,
Lima,Rafael López Aliaga,"Renovación Popular Presidente: Rafael López Aliag a Inscripción: 07/12/2004 Esta agrupación política está liderada por el alcalde de Lima, Rafael López Aliaga, quien no ha descartado la posibilidad de encabezar la plancha presidencial el 2026.",andina:992423,2024-10-27,,,,pertenencia,
Congreso,Ley,"Se establece que en caso de que ninguno de los candidatos a la Presidencia de la República obtuviese más de la mitad de los votos válidos, se procederá a una segunda elección entre los dos candidatos con mayor votación, lo cual se realizará el domingo 7 de junio.",andina:1055467,2025-12-30,,,,nombramiento,
Pedro Castillo,Estado,"Pedro Castillo: cronología del proceso judicial por golpe de Estado que llega hoy a su fin
El expresidente Pedro Castillo enfrenta un proceso judicial por el presunto delito de rebelión, abuso de autoridad y grave perturbación del orden público, debido al golpe de Estado que protagonizó el pasado 7 de diciembre del 2022.",andina:1053568,2025-11-27,Pedro,,proceso,conflicto,
Pedro Castillo,Fuerza Popular,La Comisión Permanente estará conformada por los siguientes legisladores: FUERZA POPULAR (5 integrantes) -Alejandro Aguinaga Recuenco -Arturo Alegría García -Martha Moyano Delgado -César Revilla Villanueva -Héctor Ventura Ángel ALIANZA PARA EL PROGRESO (3) -Alejandro Soto Reyes -María Acuña Peralta -Lady Camones Soriano PODEMOS PERÚ (3) -José Luna Gálvez -Digna Calle Lobatón -Ariana Orué Medina PERÚ LIBRE (2) -Flavio Cruz Mamani -Américo Gonza Castillo RENOVACIÓN POPULAR (2) -Esdras Medina Minaya -Norma Yarrow Lumbreras ACCIÓN POPULAR (2) -Silvia Monteza Facho -Wilson Soto Palacios AVANZA PAÍS (2) -José Williams Zapata -Patricia Chirinos Venegas JUNTOS POR EL PERÚ-VOCES DEL PUEBLO (2) -Roberto Sánchez Palomino -Víctor Cutipa Ccama SOMOS PERÚ (2) -José Jerí Oré -Héctor Valer BLOQUE MAGISTERIAL (2) -Segundo Quiroz Barboza -Lucinda Vásquez Vela BANCADA SOCIALISTA (1) -Alex Flores Ramírez HONOR Y DEMOCRACIA (1) -Jorge Montoya Manrique BLOQUE DEMOCRÁTICO POPULAR (1) -Ruth Luque Ibarra (FIN) MCA/RMCH Publicado: 15/8/2024,andina:997034,2024-08-15,,,,ruptura,
Roberto Sánchez,Estado,"El Juzgado Supremo de Investigación Preparatoria declaró infundado el pedido fiscal de 18 meses de prisión preventiva contra Betssy Chávez y los exministros Willy Huerta Olivas y Roberto Sánchez Palomino, investigados por rebelión y conspiración en agravio del Estado.",andina:938013,2023-04-26,Juzgado,,infundado,acusacion,
Lima,may,"22:25 | Lima, may.",andina:1075424,2026-05-16,,,,mencion,
Lima,Ley,"De escasa presencia en el mapa gastronómico limeño hasta fines del siglo XX, los restaurantes de cocina regional se han multiplicado a tal punto que no es exagerado decir que casi todos los distritos de la ciudad capital de la República cuentan con algún establecimiento que ofrece platos representativos de Piura, Lambayeque, Trujillo, Arequipa, Cusco, Ica, Tacna, Junín, Áncash, Cajamarca, San Martín, Loreto u otros de los 24 departamentos que componen el Perú.",andina:1078669,2026-06-10,restaurantes,,,mencion,
Roberto Sánchez,Estado,"Lea también:[ Estas son las normas legales más relevantes de hoy jueves 24 de agosto del 2023 ] 1- Constitución y Reglamento (26 integrantes) Presidencia: Martha Moyano Delgado (Fuerza Popular) Vicepresidenta: Adriana Tudela (Avanza País) Secretario: Jorge Marticorena (Perú Bicentenario) 2- Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología (18 integrantes) Presidenta: Ruth Luque (Cambio Democrático-Juntos por el Perú) Vicepresidenta: Francis Paredes (Podemos Perú) Secretaria: María Elizabeth Taipe Coronado (Perú Libre) 3- Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado (26 integrantes) Presidente: Alejandro Cavero Alva (Avanza País) Vicepresidente: Auristela Obando Morgan (Fuerza Popular) Secretaria: Margot Palacios Huamán (Perú Libre) 4- Mujer y Familia (18 integrantes) Presidenta: Milagros Jáuregui Martínez de Aguayo (Renovación Popular) Vicepresidencia: pendiente Secretaria: Hilda Portero López (Acción Popular) 5- Agraria (18 integrantes) Presidente: Eduardo Castillo Rivas (Fuerza Popular) Vicepresidente: Kelly Portalatino Ávalos (Perú Libre) Secretaria: Magaly Ruiz Rodríguez (Alianza para el Progreso) 6- Cultura y Patrimonio Cultural (18 integrantes) Presidente: Héctor Acuña Peralta (Unidad y Diálogo Parlamentario) Vicepresidenta: Susel Paredes Piqué (Cambio Democrático-Juntos por el Perú) Secretario: Javier Padilla Romero (Renovación Popular) 7- Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha contra las Drogas (18 integrantes) Presidenta: Patricia Chirinos Venegas (Avanza País) Vicepresidente: Juan Carlos Lizarzaburu Lizarzaburu (Fuerza Popular) Secretario: Jorge Montoya Manrique (Renovación Popular) 8- Educación, Juventud y Deporte (26 integrantes) Presidente: José María Balcázar Zelada (Perú Bicentenario) Vicepresidente: Paul Silvio Gutiérrez Ticona (Bloque Magisterial de Concertación Nacional ) Secretario: Esdras Ricardo Medina Minaya (Unidad y Diálogo Parlamentario) 9- Relaciones Exteriores (18 integrantes) Presidente: Alejandro Aguinaga Recuenco (Fuerza Popular) Vicepresidente: José Williams Zapata (Avanza País) Secretaria: Heidy Juárez (Podemos Perú) 10- Salud y Población (18 integrantes) Presidenta: Nelcy Heidinger Ballesteros (Alianza para el Progreso) Vicepresidenta: Mery Infantes Castañeda (Fuerza Popular) Secretario: Edgar Tello Montes (Perú Libre) 11- Ciencia, Innovación y Tecnología (18 integrantes) Presidente: Carlos Zeballos Madariaga (Podemos Perú) Vicepresidente: Jorge Flores Ancachi (Acción Popular) Secretario: Julio Jiménez Heredia (Fuerza Popular) 12- Inclusión Social y Personas con Discapacidad (18 integrantes) Presidenta: Kira Alcarraz (Podemos Perú) Vicepresidente: Miguel Ciccia Vásquez (Renovación Popular) Secretaria: Lucinda Vásquez Vela (Bloque Magisterial de Concertación Nacional) 13- Defensa de Consumidor y Organismos Reguladores de los Servicios Públicos (18 integrantes) Presidente: Wilson Soto Palacios (Acción Popular) Vicepresidenta: Rosangella Barbarán Reyes (Fuerza Popular) Secretaria (Adriana Tudela Gutiérrez (Avanza País) 14- Vivienda y Construcción (18 integrantes) Presidenta: María Agüero Gutiérrez (Perú Libre) Vicepresidente: Juan Burgos Oliveros (Unidad y Diálogo Parlamentario) Secretario: Idelso García Correa (Alianza para el Progreso) 15- Economía, Banca, Finanzas e Inteligencia Financiera (26 integrantes) Presidente: César Revilla Villanueva (Fuerza Popular) Vicepresidente: Segundo Montalvo Cubas (Perú Libre) Secretario: Alejandro Cavero Alva (Avanza País) 16- Presupuesto y Cuenta General de la República (26 integrantes) Presidente: José Jerí Oré (Somos Perú) Vicepresidenta: María Acuña Peralta (Alianza para el Progreso) Secretario: Arturo Alegría García (Fuerza Popular) 17- Producción, Micro y Pequeña Empresa y Cooperativas (18 integrantes) Presidente: Jorge Morante Figari (Fuerza Popular) Vicepresidente: José Pazo Nunura (Somos Perú) Secretario: Roberto Sánchez Palomino (Cambio Democrático-Juntos por el Perú) 18- Comercio Exterior y Turismo (18 integrantes) Presidente: Hamlet Echeverría Rodríguez (Cambio Democrático-Juntos por el Perú) Vicepresidente: Elías Varas Meléndez (Perú Bicentenario) Secretaría: pendiente 19- Trabajo y Seguridad Social (18 integrantes) Presidente: Pasión Dávila Atanacio (Bloque Magisterial) Vicepresidenta: Isabel Cortez Aguirre (Cambio Democrático-Juntos por el Perú) Secretaria: Cruz María Zeta Chunga (Fuerza Popular) 20- Energía y Minas (18 integrantes) Presidente: Segundo Quiroz Barboza (Bloque Magisterial) Vicepresidente: Héctor Ventura Ángel (Fuerza Popular) Secretaria: Kelly Portalatino Ávalos (Perú Libre) 21- Fiscalización y Contraloría (18 integrantes) Presidente: Wilson Quispe Mamani (Perú Libre) Vicepresidente: Eduardo Salhuana Cavides (Alianza para el Progreso) Secretario: Héctor Valer Pinto (Somos Perú) 22- Justicia y Derechos Humanos (26 integrantes) Presidenta: Janet Rivas Chacara (Perú Libre) Vicepresidente: Alejandro Muñante Barrios (Renovación Popular) Secretaria: Nieves Limachi Quispe (Cambio Democrático-Juntos por el Perú) 23- Transportes y Comunicaciones (18 integrantes) Presidente: Eduardo Salhuana Cavides (Alianza para el Progreso) Vicepresidente: Óscar Zea Choquechambi (Bloque Magisterial) Secretaria: pendiente (FIN) RMCH/FGM GRM Publicado: 22/8/2023",andina:951878,2023-08-22,,,,acusacion,
Cusco,may,"Durante su discurso realizado en la Plaza Túpac Amaru de Wanchaq (Cusco), indicó que en materia social apuesta por una pensión mensual para adultos mayores de 60 años , apoyo a familias con niños con discapacidad y un programa específico para madres cabeza de hogar.",andina:1077865,2026-06-03,,,,alianza,
Roberto Sánchez,Consejo de Ministros,"A la ceremonia, realizada en el Salón Cáceres de Palacio de Gobierno, asistió también el presidente del Consejo de Ministros, Aníbal Torres Vásquez; y los ministros de Cultura, Alejandro Salas Zegarra; de Comercio Exterior y Turismo, Roberto Sánchez Palomino; de Justicia y Derechos Humanos, Félix Chero Medina, y de la Mujer y Poblaciones Vulnerables, Diana Miloslavich Tupac.",andina:896201,2022-06-06,,,,ruptura,
Congreso,Pedro Castillo,"De acuerdo con la tesis fiscal, Chávez, Huerta y Sánchez habrían acordado junto al expresidente Pedro Castillo y terceras personas disolver el Congreso y reorganizar el sistema de justicia.",andina:944504,2023-06-20,Chávez,,expresidente,acusacion,
Pedro Castillo,Ley,"Lee también: Congreso: Comisión Permanente se instala para periodo anual de sesiones 2023-2024 1- Constitución y Reglamento (26 integrantes) Presidencia: Martha Moyano Delgado (Fuerza Popular) Vicepresidenta: Adriana Tudela (Avanza País) Secretario: Jorge Marticorena (Perú Bicentenario) 2-Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología (18 integrantes) Presidenta: Ruth Luque (Cambio Democrático- Juntos por el Perú) Vicepresidenta: Francis Paredes (Podemos Perú) Secretaria: María Elizabeth Taipe Coronado (Perú Libre) 3-Descentralización, Regionalización, Gobiernos Locales y Modernización de la gestión del Estado (26 integrantes) Presidente: Alejandro Cavero Alva (Avanza País) Vicepresidente: Auristela Obando Morgan (Fuerza Popular) Secretaria: Margot Palacios Huamán (Perú Libre) 4-Mujer y Familia (18 integrantes) Presidenta: Milagros Jáuregui Martínez de Aguayo (Renovación Popular) Vicepresidencia: pendiente Secretaria: Hilda Portero López (Acción Popular) 5-Agraria (18 integrantes) Presidente: Eduardo Castillo Rivas (Fuerza Popular) Vicepresidente: Kelly Portalatino Ávalos (Perú Libre) Secretaria: Magaly Ruiz Rodríguez (Alianza para el Progreso) 6-Cultura y Patrimonio Cultural (18 integrantes) Presidente: Héctor Acuña Peralta (Unidad y Diálogo Parlamentario) Vicepresidenta: Susel Paredes Piqué (Cambio Democrático-Juntos por el Perú) Secretario: Javier Padilla Romero (Renovación Popular).",andina:951600,2023-08-16,,,,ruptura,
may,Consejo de Ministros,"by flor.huilca [Lea también: Fiscalía archiva definitivamente acusación contra Presidenta por delito de genocidio ] La Junta de Portavoces tiene entre sus funciones elaborar el cuadro de comisiones para su aprobación por el Consejo Directivo y el pleno del Congreso; la ampliación de la agenda de la sesiones plenarias y la determinación de prioridades en el debate, con el voto aprobatorio de la mayoría del número legal de los miembros del Congreso, entre otros.",andina:995137,2024-07-30,by,,funciones,acusacion,
Roberto Sánchez,Comercio Exterior y Turismo,"También lea: [ Jefe del Estado: se defenderán las áreas naturales y las comunidades nativas del país ] Participarán de la ceremonia el ministro de Comercio Exterior y Turismo, Roberto Sánchez Palomino; el gobernador regional de Loreto, Elisbán Ochoa Sosa; la presidenta de la Comisión de Promoción del Perú para la Exportación y el Turismo-Promperú, Amora Carbajal Schumacher; el titular de la Cámara Regional de Turismo de Loreto, Tedy Vásquez Cárdenas; y otras autoridades.",andina:913915,2022-10-14,,,[,mencion,
Pedro Castillo,Estado,"El expresidente Pedro Castillo enfrenta un proceso judicial por el presunto delito de rebelión, abuso de autoridad y grave perturbación del orden público, debido al golpe de Estado que protagonizó el pasado 7 de diciembre del 2022.",andina:1053568,2025-11-27,expresidente,,proceso,conflicto,
Estado,Ley,"Tras esto, y luego de dar cuenta de que la Comisión Permanente dispone de facultades para legislar durante el receso del pleno del Congreso, el titular de este poder del Estado, Alejandro Soto, declaró clausurado el periodo de sesiones 2023-2024.",andina:989505,2024-06-15,titular,,,ruptura,
Estado,Ley,Los ministros de Estado cuestionaron la decisión del Congreso de negar el viaje del presidente Pedro Castillo a México para participar en la XVII Cumbre de la Alianza del Pacífico.,andina:918298,2022-11-17,ministros,,decisión,conflicto,
Congreso,may,"Indicó que para lograr los cambios en la actual representación bicameral del Parlamento, se necesita un gran consenso , por lo que instó a lograr un pacto entre todos los peruanos, no de una mayoría en el Congreso, sino de todas las fuerzas sociales.",andina:1076076,2026-05-21,,,,alianza,
Lima,may,"20:00 | Lima, may.",andina:1075821,2026-05-19,,,,mencion,
Estado,Ley,"El pleno del Congreso de la República aprobó, por voto en mayoría, el proyecto de resolución legislativa que acusa al exministro de Salud, Víctor Zamora, de ser responsable del presunto delito de omisión, rehusamiento o demora de actos funcionales en agravio del Estado.",andina:1011385,2024-12-13,pleno,,voto,acusacion,
may,Ley,"La ampliación de la agenda de la sesión y la determinación de prioridades en el debate, todo ello con el voto aprobatorio de la mayoría del número legal de los miembros del Congreso allí representados.",andina:949693,2023-08-01,,,,pertenencia,
Consejo de Ministros,Ley,"Traspaso de Presidencia Pro Témpore El traspaso de la Presidencia Pro Témpore al Perú se realizó durante la “XXII Reunión del Consejo Presidencial Andino”, en una ceremonia a cargo de Ecuador y su presidente Guillermo Lasso, en la que también participaron los mandatarios de los países miembros: Pedro Castillo de la República de Perú, Luis Arce, del Estado Plurinacional de Bolivia; y Gustavo Petro, de la República de Colombia.",andina:907739,2022-08-29,Traspaso,,XXII,pertenencia,
Keiko Fujimori,Rafael López Aliaga,"Lee también: Ipsos: Fujimori 16.6%, Sanchez 12.1%, Belmont 11.8%, Lopez Aliaga 11%, Nieto 10.7% Para Sánchez, su ubicación expectante a boca de urna es resultado del apoyo de provincias y de forma especial de la parte andina del país.",andina:1071004,2026-04-12,,,,alianza,
Roberto Sánchez,Fuerza Popular,La Comisión Permanente estará conformada por los siguientes legisladores: FUERZA POPULAR (5 integrantes) -Alejandro Aguinaga Recuenco -Arturo Alegría García -Martha Moyano Delgado -César Revilla Villanueva -Héctor Ventura Ángel ALIANZA PARA EL PROGRESO (3) -Alejandro Soto Reyes -María Acuña Peralta -Lady Camones Soriano PODEMOS PERÚ (3) -José Luna Gálvez -Digna Calle Lobatón -Ariana Orué Medina PERÚ LIBRE (2) -Flavio Cruz Mamani -Américo Gonza Castillo RENOVACIÓN POPULAR (2) -Esdras Medina Minaya -Norma Yarrow Lumbreras ACCIÓN POPULAR (2) -Silvia Monteza Facho -Wilson Soto Palacios AVANZA PAÍS (2) -José Williams Zapata -Patricia Chirinos Venegas JUNTOS POR EL PERÚ-VOCES DEL PUEBLO (2) -Roberto Sánchez Palomino -Víctor Cutipa Ccama SOMOS PERÚ (2) -José Jerí Oré -Héctor Valer BLOQUE MAGISTERIAL (2) -Segundo Quiroz Barboza -Lucinda Vásquez Vela BANCADA SOCIALISTA (1) -Alex Flores Ramírez HONOR Y DEMOCRACIA (1) -Jorge Montoya Manrique BLOQUE DEMOCRÁTICO POPULAR (1) -Ruth Luque Ibarra (FIN) MCA/RMCH Publicado: 15/8/2024,andina:997034,2024-08-15,,,,ruptura,
Congreso,Ley,"Enfrentar la delincuencia es un tema que debe unirnos a todos, y el Congreso tiene el deber de actuar con decisión y compromiso"" , sostuvo.",andina:1002084,2024-09-28,,,,conflicto,
Roberto Sánchez,Congreso,"Ratifican compromiso de brindar apoyo a Machu Picchu y realizar más inversiones en Cusco
A propósito del 15 aniversario de la declaración de Machu Picchu como una de las siete maravillas del mundo mModerno, el ministro de Comercio Exterior y Turismo, Roberto Sánchez Palomino, ratificó el compromiso del gobierno de desarrollar inversiones, programas y acciones de defensa, cuidado y promoción para hacer del Santuario un recinto de peruanidad y fraternidad para el mundo.",andina:900552,2022-07-08,,,compromiso,alianza,
Roberto Sánchez,Ley,"Roberto Sánchez juró como titular del Ministerio de Comercio Exterior y Turismo, en ceremonia desarrollada anoche en el Gran Teatro Nacional y que fue liderada por el Presidente de la República, Pedro Castillo Terrones.",andina:855551,2021-07-29,Roberto,,titular,pertenencia,
